----------------Prefab----------------------
undles\UI\UIHelp.prefab   Help:\n1. Mouse Right Move\n2. R Reload Dll\n3. T Transfer Map
undles\UI\Main\Activity\UIActivity.prefab   周卡
undles\UI\Main\Activity\UIActivity.prefab   积分
undles\UI\Main\Activity\UIActivity.prefab   令牌
undles\UI\Main\Activity\UIActivity.prefab   每日特惠
undles\UI\Main\Activity\UIActivity.prefab   单充
undles\UI\Main\Activity\UIActivityLoginItem.prefab   第一天
undles\UI\Main\Activity\UIActivityLvLiBao.prefab   等级礼包\n到达即领
undles\UI\Main\Activity\UIActivityLvLiBao.prefab   每日
undles\UI\Main\Activity\UIActivityLvLiBao.prefab   20等级开启购买
undles\UI\Main\Activity\UIActivityLvLiBao.prefab   购 买
undles\UI\Main\Activity\UIActivityMaoXian.prefab   冒险家奖励
undles\UI\Main\Activity\UIActivityMaoXian.prefab   冒险家积分
undles\UI\Main\Activity\UIActivityMaoXian.prefab   提示: 完成每日活跃可以获得积分,每充值1元可获得10点积分。\n
undles\UI\Main\Activity\UIActivityMaoXian.prefab   前往赞助
undles\UI\Main\Activity\UIActivityMaoXian.prefab   100/100
undles\UI\Main\Activity\UIActivityMaoXian.prefab   积分值
undles\UI\Main\Activity\UIActivityMaoXian.prefab   奖励道具
undles\UI\Main\Activity\UIActivityMaoXian.prefab   奖励列表
undles\UI\Main\Activity\UIActivitySingIn.prefab   签到奖励
undles\UI\Main\Activity\UIActivitySingIn.prefab   赞助奖励
undles\UI\Main\Activity\UIActivitySingIn.prefab   今日签到
undles\UI\Main\Activity\UIActivitySingIn.prefab   已签到
undles\UI\Main\Activity\UIActivitySingIn.prefab   赞助签到
undles\UI\Main\Activity\UIActivitySingleRecharge.prefab   提示：以上为单笔充值的对应额度奖励,累加不计入单笔哦！此奖励只可领取一次！
undles\UI\Main\Activity\UIActivitySingleRecharge.prefab   前往充值
undles\UI\Main\Activity\UIActivitySingleRecharge.prefab   单笔充值0元
undles\UI\Main\Activity\UIActivityTeHuiItem.prefab   8000
undles\UI\Main\Activity\UIActivityTeHuiItem.prefab   传说大礼包
undles\UI\Main\Activity\UIActivityTeHuiItem.prefab   礼包物品
undles\UI\Main\Activity\UIActivityToken.prefab   累计充值98元
undles\UI\Main\Activity\UIActivityToken.prefab   Recharge 198 Activate
undles\UI\Main\Activity\UIActivityToken.prefab   累计充值298元
undles\UI\Main\Activity\UIActivityToken.prefab   免费领取
undles\UI\Main\Activity\UIActivityToken.prefab   当前额度:999/298
undles\UI\Main\Activity\UIActivityTokenItem.prefab   制作书：哈哈哈哈
undles\UI\Main\Activity\UIActivityTokenItem.prefab   30级
undles\UI\Main\Activity\UIActivityTokenItem.prefab   可领取
undles\UI\Main\Activity\UIActivityYueKa.prefab   1. 体力上限额外增加20点。\n2. 通关关卡可额外开启宝箱。\n3. 领取每日月卡奖励。\n\n
undles\UI\Main\Activity\UIActivityYueKa.prefab   周卡奖励
undles\UI\Main\Activity\UIActivityYueKa.prefab   月卡福利
undles\UI\Main\Activity\UIActivityYueKa.prefab   3000
undles\UI\Main\Activity\UIActivityYueKa.prefab   开启周卡
undles\UI\Main\Activity\UIActivityYueKa.prefab   周卡剩余领取次数:
undles\UI\Main\Activity\UIActivityYueKa.prefab   0/7
undles\UI\Main\Activity\UIActivityYueKa.prefab   周卡特权\n激活周卡,副本将额外开启一个宝箱
undles\UI\Main\ActivityV1\UIActivityV1.prefab   好运
undles\UI\Main\ActivityV1\UIActivityV1.prefab   竞猜
undles\UI\Main\ActivityV1\UIActivityV1.prefab   豪掷
undles\UI\Main\ActivityV1\UIActivityV1.prefab   红包
undles\UI\Main\ActivityV1\UIActivityV1.prefab   兑换
undles\UI\Main\ActivityV1\UIActivityV1.prefab   抽取
undles\UI\Main\ActivityV1\UIActivityV1.prefab   礼包
undles\UI\Main\ActivityV1\UIActivityV1ChouKa.prefab   今日抽奖次数x1
undles\UI\Main\ActivityV1\UIActivityV1ChouKa.prefab   今日奖励
undles\UI\Main\ActivityV1\UIActivityV1ChouKa.prefab   消耗道具
undles\UI\Main\ActivityV1\UIActivityV1ChouKa.prefab   开始抽奖
undles\UI\Main\ActivityV1\UIActivityV1ChouKa.prefab   抽奖次数：
undles\UI\Main\ActivityV1\UIActivityV1ChouKa2.prefab   提示:当奖励已经领取超过50%可进行奖励刷新\n
undles\UI\Main\ActivityV1\UIActivityV1ChouKa2.prefab   消耗幸运卷轴:0/1
undles\UI\Main\ActivityV1\UIActivityV1ChouKa2.prefab   刷新奖励
undles\UI\Main\ActivityV1\UIActivityV1Consume.prefab   你消费，我送礼
undles\UI\Main\ActivityV1\UIActivityV1Consume.prefab   消耗
undles\UI\Main\ActivityV1\UIActivityV1Consume.prefab   100钻石
undles\UI\Main\ActivityV1\UIActivityV1Consume.prefab   领取
undles\UI\Main\ActivityV1\UIActivityV1Consume.prefab   今日消耗：
undles\UI\Main\ActivityV1\UIActivityV1DuiHuanWord.prefab   拥有数量：0
undles\UI\Main\ActivityV1\UIActivityV1DuiHuanWord.prefab   规则说明
undles\UI\Main\ActivityV1\UIActivityV1DuiHuanWord.prefab   1.在野外击败怪物有概率掉落各种字。
undles\UI\Main\ActivityV1\UIActivityV1DuiHuanWord.prefab   2.你可以选择是兑换单个或者兑换全部。
undles\UI\Main\ActivityV1\UIActivityV1DuiHuanWord.prefab   3.单个字可以兑换10万金币。
undles\UI\Main\ActivityV1\UIActivityV1DuiHuanWord.prefab   4.一套字可以兑换一个金条。
undles\UI\Main\ActivityV1\UIActivityV1DuiHuanWord.prefab   兑换单个
undles\UI\Main\ActivityV1\UIActivityV1DuiHuanWord.prefab   兑换一套
undles\UI\Main\ActivityV1\UIActivityV1Feed.prefab   提示:当饱食度达到1000点时,会为每位贡献者赠送一个礼包哦\n
undles\UI\Main\ActivityV1\UIActivityV1Feed.prefab   饱食度：999
undles\UI\Main\ActivityV1\UIActivityV1Feed.prefab   1.在野外击败怪物时会掉落元宵和饺子。
undles\UI\Main\ActivityV1\UIActivityV1Feed.prefab   2.喂食道具会获得奖励哦！
undles\UI\Main\ActivityV1\UIActivityV1Feed.prefab   99/99
undles\UI\Main\ActivityV1\UIActivityV1Feed.prefab   名字
undles\UI\Main\ActivityV1\UIActivityV1Guess.prefab   0点开奖
undles\UI\Main\ActivityV1\UIActivityV1Guess.prefab   未中
undles\UI\Main\ActivityV1\UIActivityV1Guess.prefab   本轮我的竞猜
undles\UI\Main\ActivityV1\UIActivityV1Guess.prefab   提示：可以额外消耗钻石开启多选项哦
undles\UI\Main\ActivityV1\UIActivityV1HongBao.prefab   天降红包
undles\UI\Main\ActivityV1\UIActivityV1HongBao.prefab   恭喜发财
undles\UI\Main\ActivityV1\UIActivityV1HongBao.prefab   恭喜获得
undles\UI\Main\ActivityV1\UIActivityV1HongBao.prefab   提示：每充值98元赠送红包一个
undles\UI\Main\ActivityV1\UIActivityV1HongBao.prefab   我的红包数量
undles\UI\Main\ActivityV1\UIActivityV1HongBao.prefab   红包奖励展示：
undles\UI\Main\ActivityV1\UIActivityV1HongBao.prefab   打开红包
undles\UI\Main\ActivityV1\UIActivityV1LiBao.prefab   洗练礼包
undles\UI\Main\ActivityV1\UIActivityV1LiBao.prefab   钻石：999
undles\UI\Main\ActivityV1\UIActivityV1Task.prefab   游戏在线
undles\UI\Main\ActivityV1\UIActivityV1Task.prefab   游戏在线时间达到60分钟
undles\UI\Main\ActivityV1\UIActivityV1Task.prefab   登陆游戏1次
undles\UI\Main\Appraisal\UIAppraisalSelect.prefab   品质:0
undles\UI\Main\Appraisal\UIAppraisalSelect.prefab   预测极品概率
undles\UI\Main\Appraisal\UIAppraisalSelect.prefab   万里挑一
undles\UI\Main\Appraisal\UIAppraisalSelect.prefab   装备名字
undles\UI\Main\Appraisal\UIAppraisalSelect.prefab   111111
undles\UI\Main\Appraisal\UIAppraisalSelect.prefab   金币鉴定
undles\UI\Main\Appraisal\UIAppraisalSelect.prefab   装备鉴定
undles\UI\Main\Appraisal\UIAppraisalSelect.prefab   45级
undles\UI\Main\Appraisal\UIAppraisalSelect.prefab   需要消耗：防御锻造符
undles\UI\Main\Appraisal\UIAppraisalSelect.prefab   提示:鉴定符的品质决定属性数量和属性值
undles\UI\Main\Appraisal\UIAppraisalSelect.prefab   金币鉴定的概率较低出现极品
undles\UI\Main\Appraisal\UIAppraisalSelect.prefab   10000
undles\UI\Main\Appraisal\UIAppraisalSelect.prefab   鉴定符列表
undles\UI\Main\Camp\UICamp.prefab   阵营实力
undles\UI\Main\Camp\UICamp.prefab   阵营奖励
undles\UI\Main\Camp\UICamp.prefab   阵营选择
undles\UI\Main\Camp\UICamp.prefab   阵营狩猎
undles\UI\Main\Camp\UICamp.prefab   阵营福利
undles\UI\Main\Camp\UICamp.prefab   阵营商店
undles\UI\Main\Camp\UICampFuLi.prefab   领取阵营福利
undles\UI\Main\Camp\UICampFuLi.prefab   提示：阵营奖励每天可以领取一次，阵营职位由阵营门主设置，职位越高职位每日奖励越多
undles\UI\Main\Camp\UICampFuLi.prefab   当前阵营：邪派
undles\UI\Main\Camp\UICampFuLi.prefab   当前职位：副门主
undles\UI\Main\Camp\UICampFuLi.prefab   负者奖励： 5
undles\UI\Main\Camp\UICampReward.prefab   第111-201名
undles\UI\Main\Camp\UICampReward.prefab   (提示：每周日24:00通过邮件进行奖励发放，新区开服第二周开始发放)
undles\UI\Main\Camp\UICampReward.prefab   胜利
undles\UI\Main\Camp\UICampReward.prefab   失败
undles\UI\Main\Camp\UICampSelect.prefab   加入正派
undles\UI\Main\Camp\UICampSelect.prefab   加入邪派
undles\UI\Main\Camp\UICampSelect.prefab   当前职位 ：副门主
undles\UI\Main\Camp\UICampSelect.prefab   当前阵营 ：邪派
undles\UI\Main\Camp\UICampSelect.prefab   提示：改变阵营需要消耗100万金币作为手续费哦！
undles\UI\Main\Camp\UICampShop.prefab   传说圣石
undles\UI\Main\Camp\UICampShouLie.prefab   今日狩猎任意怪物数量达到10000只
undles\UI\Main\Camp\UICampShouLie.prefab   X5
undles\UI\Main\Camp\UICampShouLie.prefab   今日已狩猎：0只
undles\UI\Main\Camp\UICampStrength.prefab   哈哈玩家名字11
undles\UI\Main\Camp\UICampStrength.prefab   玩家职位
undles\UI\Main\Camp\UICampStrength.prefab   11111111
undles\UI\Main\Camp\UICampStrength.prefab   正派 459231
undles\UI\Main\Camp\UICampStrength.prefab   邪派 459231
undles\UI\Main\Camp\UICampStrength.prefab    排行                        姓名                      实力值 
undles\UI\Main\Camp\UICampStrength.prefab    排行                         姓名                      实力值 
undles\UI\Main\Chat\UIChat.prefab   世界频道
undles\UI\Main\Chat\UIChat.prefab   队伍频道
undles\UI\Main\Chat\UIChat.prefab   家族频道
undles\UI\Main\Chat\UIChat.prefab   系统频道
undles\UI\Main\Chat\UIChat.prefab   好友频道
undles\UI\Main\Chat\UIChat.prefab   拾取频道
undles\UI\Main\Chat\UIChat.prefab   拍卖频道
undles\UI\Main\Chat\UIChat.prefab   X
undles\UI\Main\Chat\UIChat.prefab   发送信息
undles\UI\Main\Chat\UIChat.prefab   表情
undles\UI\Main\Chat\UIChatItem.prefab   世界
undles\UI\Main\Chat\UIChatItem.prefab   队伍
undles\UI\Main\Chat\UIChatItem.prefab   家族
undles\UI\Main\Chat\UIChatItem.prefab   系统
undles\UI\Main\Chat\UIChatItem.prefab   拍卖
undles\UI\Main\Chat\UIChatItem.prefab   玩家名字七八个字
undles\UI\Main\Chat\UIChatItem.prefab   哈哈哈<U>HAHAH </U>
undles\UI\Main\Chat\UIChatItem.prefab   等级：
undles\UI\Main\Chat\UIChatItem.prefab   哈哈哈<U>HAHAH </U>1111111111
undles\UI\Main\ChengJiu\UIChengJiu.prefab   奖励
undles\UI\Main\ChengJiu\UIChengJiu.prefab   成就
undles\UI\Main\ChengJiu\UIChengJiu.prefab   精灵
undles\UI\Main\ChengJiu\UIChengJiu.prefab   图鉴
undles\UI\Main\ChengJiu\UIChengJiuActivite.prefab   恭喜你,激活新的成就!
undles\UI\Main\ChengJiu\UIChengJiuActivite.prefab   成就名字
undles\UI\Main\ChengJiu\UIChengJiuActivite.prefab   累计成就点
undles\UI\Main\ChengJiu\UIChengJiuJingling.prefab   使用精灵
undles\UI\Main\ChengJiu\UIChengJiuJingling.prefab   收回
undles\UI\Main\ChengJiu\UIChengJiuJingling.prefab   已显示
undles\UI\Main\ChengJiu\UIChengJiuJingling.prefab   武林新丁
undles\UI\Main\ChengJiu\UIChengJiuJingling.prefab   精灵特技:
undles\UI\Main\ChengJiu\UIChengJiuJingling.prefab   攻击有一定概率恢复己方生命值
undles\UI\Main\ChengJiu\UIChengJiuJingling.prefab   激活属性:
undles\UI\Main\ChengJiu\UIChengJiuJingling.prefab   来自比武大会
undles\UI\Main\ChengJiu\UIChengJiuJingling.prefab   提示:精灵只能装备一种,只有装备的精灵才有效果。
undles\UI\Main\ChengJiu\UIChengJiuReward.prefab   成就点数：
undles\UI\Main\ChengJiu\UIChengJiuReward.prefab   850
undles\UI\Main\ChengJiu\UIChengJiuReward.prefab   300
undles\UI\Main\ChengJiu\UIChengJiuReward.prefab   成就奖励
undles\UI\Main\ChengJiu\UIChengJiuReward.prefab   2060成就奖励
undles\UI\Main\ChengJiu\UIChengJiuShow.prefab   关卡成就
undles\UI\Main\ChengJiu\UIChengJiuShow.prefab   完成度
undles\UI\Main\ChengJiu\UIChengJiuShow.prefab   进度：10/10
undles\UI\Main\ChengJiu\UIChengJiuShow.prefab   成就点数:5
undles\UI\Main\ChengJiu\UIChengJiuShow.prefab   消灭100只小树妖
undles\UI\Main\ChengJiu\UIChengJiuShow.prefab   小树妖:挑战
undles\UI\Main\ChengJiu\UIJingLingGet.prefab   皮肤名称
undles\UI\Main\ChengJiu\UIJingLingGet.prefab   恭喜你成功抓捕精灵!
undles\UI\Main\ChouKa\UIChouKa.prefab   探宝仓库
undles\UI\Main\ChouKa\UIChouKa.prefab   章节选择
undles\UI\Main\ChouKa\UIChouKa.prefab   今日累计次数：1
undles\UI\Main\ChouKa\UIChouKa.prefab   第一章探宝
undles\UI\Main\ChouKa\UIChouKa.prefab   探宝选择
undles\UI\Main\ChouKa\UIChouKa.prefab   第二章探宝
undles\UI\Main\ChouKa\UIChouKa.prefab   第三章探宝
undles\UI\Main\ChouKa\UIChouKa.prefab   第四章探宝
undles\UI\Main\ChouKa\UIChouKa.prefab   第五章探宝
undles\UI\Main\ChouKa\UIChouKa.prefab   1级可以激活此探宝选项
undles\UI\Main\ChouKa\UIChouKa.prefab   18级可以激活此探宝选项
undles\UI\Main\ChouKa\UIChouKa.prefab   30级可以激活此探宝选项
undles\UI\Main\ChouKa\UIChouKa.prefab   40级可以激活此探宝选项
undles\UI\Main\ChouKa\UIChouKa.prefab   50级可以激活此探宝选项
undles\UI\Main\ChouKa\UIChouKa.prefab   说明
undles\UI\Main\ChouKa\UIChouKaProbExplain.prefab   1.抽奖获得的各个奖励,其概率完全由系统随机决定。\n2.每次使用钻石抽取会计入当前的累计次数,累计次数达到一定值可以领取奖励，累计次数每日清空。
undles\UI\Main\ChouKa\UIChouKaProbExplain.prefab   探索说明
undles\UI\Main\ChouKa\UIChouKaProbExplain.prefab   概率说明
undles\UI\Main\ChouKa\UIChouKaProbExplain.prefab   神兽碎片和珍品羽毛
undles\UI\Main\ChouKa\UIChouKaProbExplain.prefab   各约1%
undles\UI\Main\ChouKa\UIChouKaProbExplain.prefab   橙色道具及装备
undles\UI\Main\ChouKa\UIChouKaProbExplain.prefab   约14%
undles\UI\Main\ChouKa\UIChouKaProbExplain.prefab   紫色材料及装备
undles\UI\Main\ChouKa\UIChouKaProbExplain.prefab   约30%
undles\UI\Main\ChouKa\UIChouKaProbExplain.prefab   其余材料及装备
undles\UI\Main\ChouKa\UIChouKaProbExplain.prefab   约54%
undles\UI\Main\ChouKa\UIChouKaReward.prefab   今日探宝次数:10
undles\UI\Main\ChouKa\UIChouKaReward.prefab   提示：今日探宝次数大于250次后，探宝消耗自动打8折
undles\UI\Main\ChouKa\UIChouKaReward.prefab   随机获得
undles\UI\Main\ChouKa\UIChouKaReward.prefab   抽卡次数达到11111次
undles\UI\Main\ChouKa\UIChouKaReward.prefab   1-1
undles\UI\Main\ChouKa\UIChouKaShowItem.prefab   11111
undles\UI\Main\ChouKa\UIChouKaWarehouse.prefab   提示：抽奖背包，该仓库不能手动存入
undles\UI\Main\ChouKa\UIChouKaWarehouse.prefab   一键出售
undles\UI\Main\Common\UICommonCostItem.prefab   10/200
undles\UI\Main\Common\UICommonCostItem.prefab   金币
undles\UI\Main\Common\UICommonProperty.prefab   怪物名称
undles\UI\Main\Common\UICommonProperty.prefab   等级：10
undles\UI\Main\Common\UICommonProperty.prefab   血量
undles\UI\Main\Common\UICommonProperty.prefab   10000-10000
undles\UI\Main\Common\UICommonReward.prefab   获得奖励
undles\UI\Main\Common\UICommonSkillItem.prefab   新技能！
undles\UI\Main\Country\UICountry.prefab   活跃
undles\UI\Main\Country\UICountry.prefab   签到
undles\UI\Main\Country\UICountry.prefab   活动
undles\UI\Main\Country\UICountryChest.prefab   活动时间
undles\UI\Main\Country\UICountryChest.prefab   每天12:30  20:30
undles\UI\Main\Country\UICountryChest.prefab   活动内容
undles\UI\Main\Country\UICountryChest.prefab   在梦境之地撒下大量宝箱，可随意拾取。宝箱根据不同的品质对应的不同奖励。宝箱品质越高奖励越好，赶快准备好吧。
undles\UI\Main\Country\UICountryChest.prefab   天降宝箱
undles\UI\Main\Country\UICountryHuoDong.prefab   活动列表
undles\UI\Main\Country\UICountryHuoDong.prefab   神器之王
undles\UI\Main\Country\UICountryHuoDong.prefab   准时出现在宝藏之地,必掉一个橙色装备!拥有掉落归属的玩家可以获得喔!
undles\UI\Main\Country\UICountryHuoDong.prefab   每日12:00  和 22:30（开区第一周）
undles\UI\Main\Country\UICountryHuoDong.prefab   立即前往
undles\UI\Main\Country\UICountryHuoDong.prefab   巨龙来袭
undles\UI\Main\Country\UICountryHuoDong.prefab   每日12:30准时出现在宝藏之地！
undles\UI\Main\Country\UICountryHuoDong.prefab   每日12:30
undles\UI\Main\Country\UICountryHuoDong.prefab   红包来袭
undles\UI\Main\Country\UICountryHuoDong.prefab   每日19:30红包准时来袭！
undles\UI\Main\Country\UICountryHuoDong.prefab   每日19:30
undles\UI\Main\Country\UICountryHuoDong.prefab   角斗场
undles\UI\Main\Country\UICountryHuoDong.prefab   在角斗场坚持时间越长获得奖励越丰厚!
undles\UI\Main\Country\UICountryHuoDong.prefab   详情介绍
undles\UI\Main\Country\UICountryHuoDong.prefab   每日19:40开启   19:50关闭入口
undles\UI\Main\Country\UICountryHuoDong.prefab   世界领主
undles\UI\Main\Country\UICountryHuoDong.prefab   世界领主准时携带巨量宝物来袭！
undles\UI\Main\Country\UICountryHuoDong.prefab   每周一、三、五、七20:00开启
undles\UI\Main\Country\UICountryHuoDong.prefab   小龟赛跑
undles\UI\Main\Country\UICountryHuoDong.prefab   活动开启前10分钟,小龟赛跑大使会准时出现在主城正下方喔！
undles\UI\Main\Country\UICountryHuoDong.prefab   每周二、四、六20:00开启
undles\UI\Main\Country\UICountryHuoDong.prefab   战场活动
undles\UI\Main\Country\UICountryHuoDong.prefab   玩家多人随机对战，获胜方将获得丰厚奖励
undles\UI\Main\Country\UICountryHuoDong.prefab   每日20:30-21：00
undles\UI\Main\Country\UICountryHuoDong.prefab   宝藏活动
undles\UI\Main\Country\UICountryHuoDong.prefab   拾取场景内的宝箱获得丰厚的奖励
undles\UI\Main\Country\UICountryHuoDong.prefab   每周一、三、五、七 21:00开启
undles\UI\Main\Country\UICountryHuoDong.prefab   变身大赛
undles\UI\Main\Country\UICountryHuoDong.prefab   变成各种各样的怪物,率先到达终点即可获得最后的胜利。
undles\UI\Main\Country\UICountryHuoDong.prefab   每周二、四、六 21:00开启
undles\UI\Main\Country\UICountryHuoDong.prefab   喜从天降
undles\UI\Main\Country\UICountryHuoDong.prefab   全地图随机刷新道具，只要随机到指定位置即可获得奖励
undles\UI\Main\Country\UICountryHuoDong.prefab   每周一、三、五、七 21:30开启
undles\UI\Main\Country\UICountryHuoDong.prefab   狩猎活动
undles\UI\Main\Country\UICountryHuoDong.prefab   活动期间不消耗体力,击败怪物数量越多获得奖励越丰厚
undles\UI\Main\Country\UICountryHuoDong.prefab   每周二、四、六 21:30开启
undles\UI\Main\Country\UICountryHuoDong.prefab   竞技场
undles\UI\Main\Country\UICountryHuoDong.prefab   玩家之间1对1的竞技挑战,展现自身真正硬实力
undles\UI\Main\Country\UICountryHuoDong.prefab   每周一、三、五、七 22:00开启
undles\UI\Main\Country\UICountryHuoDong.prefab   家族入侵
undles\UI\Main\Country\UICountryHuoDong.prefab   进入家族地图,打败入侵者,获得丰厚奖励
undles\UI\Main\Country\UICountryHuoDong.prefab   每周二、四、六 22:00开启
undles\UI\Main\Country\UICountryHuoDongJieShao.prefab   世界领主活动玩法介绍
undles\UI\Main\Country\UICountryHuoDongJieShao.prefab   1.当领主刷新出来后，玩家前往密境之地击败领主，领主携带的宝物会掉落在地上让玩家自由拾取。\n2.玩家在密境地图无法互相进行攻击。\n3.每次击败领主会根据当前领主的伤害排名，对具有不同贡献的玩家发放奖励。\n排行奖励如下：\n第1名           金币*15万   装备晶石*100\n第2名           金币*10万   装备晶石*75\n第3名           金币*7.5万   装备晶石*50\n第4-5名       金币*5万  装备晶石*40\n第6-10名     金币*3万  装备晶石*30\n第11-20名   金币*2万 装备晶石*20\n以上奖励在活动结束时通过邮件进行发放。
undles\UI\Main\Country\UICountryTask.prefab   活跃度
undles\UI\Main\Country\UICountryTask.prefab   60活跃度
undles\UI\Main\Country\UICountryTaskTips.prefab   活跃度奖励
undles\UI\Main\Donation\UIDonation.prefab   捐献排行
undles\UI\Main\Donation\UIDonation.prefab   家族争霸
undles\UI\Main\Donation\UIDonation.prefab   争霸排行
undles\UI\Main\Donation\UIDonationShow.prefab   我要捐献
undles\UI\Main\Donation\UIDonationShow.prefab   捐献金币在争霸战中作为奖励进行分配
undles\UI\Main\Donation\UIDonationShow.prefab   捐献排行榜每天0:00清空
undles\UI\Main\Donation\UIDonationShow.prefab   我已捐献10000000金币
undles\UI\Main\Donation\UIDonationShow.prefab   捐献额度
undles\UI\Main\Donation\UIDonationShow.prefab   最低捐献10万金币...
undles\UI\Main\Donation\UIDonationShow.prefab   当前已捐献：10000金币
undles\UI\Main\Donation\UIDonationShow.prefab   捐献第1名
undles\UI\Main\Donation\UIDonationShow.prefab   游戏内爆率提升25%,对怪伤害增加30%,暴击率+5%
undles\UI\Main\Donation\UIDonationShow.prefab   王者捐献
undles\UI\Main\Donation\UIDonationShow.prefab   捐献第2名
undles\UI\Main\Donation\UIDonationShow.prefab   游戏内爆率提升20%,对怪伤害增加25%
undles\UI\Main\Donation\UIDonationShow.prefab   钻石捐献
undles\UI\Main\Donation\UIDonationShow.prefab   捐献第3名
undles\UI\Main\Donation\UIDonationShow.prefab   游戏内爆率提升15%,对怪伤害增加20%
undles\UI\Main\Donation\UIDonationShow.prefab   黄金捐献
undles\UI\Main\Donation\UIDonationShow.prefab   捐献第4-5名
undles\UI\Main\Donation\UIDonationShow.prefab   游戏内爆率提升10%,对怪伤害增加15%
undles\UI\Main\Donation\UIDonationShow.prefab   白银捐献
undles\UI\Main\Donation\UIDonationShow.prefab   捐献第6-10名
undles\UI\Main\Donation\UIDonationShow.prefab   游戏内爆率提升5%,对怪伤害增加10%
undles\UI\Main\Donation\UIDonationShow.prefab   青铜捐献
undles\UI\Main\Donation\UIDonationShow.prefab   其他: 只要捐献最低可获得爱心捐献状态
undles\UI\Main\Donation\UIDonationShowItem.prefab   1
undles\UI\Main\Donation\UIDonationShowItem.prefab   我的名字七个字
undles\UI\Main\Donation\UIDonationShowItem.prefab   99级
undles\UI\Main\Donation\UIDonationShowItem.prefab   1000金币
undles\UI\Main\Donation\UIDonationUnion.prefab   家族争霸赛
undles\UI\Main\Donation\UIDonationUnion.prefab   活动开启时间： 4月11日19点30开启
undles\UI\Main\Donation\UIDonationUnion.prefab   累计总奖金： 100万金币
undles\UI\Main\Donation\UIDonationUnion.prefab   1. 总奖励的20%将作为手续费累计到下次争霸赛中。\n2. 获胜家族的成员将平分奖池内的60%奖励。\n3. 其他参与家族的成员将平分奖池内40%奖励。\n4. 玩家在争霸捐献中的50%将自动累计到奖池中。
undles\UI\Main\Donation\UIDonationUnion.prefab   已报名家族：
undles\UI\Main\Donation\UIDonationUnion.prefab   报名家族战
undles\UI\Main\Donation\UIDonationUnion.prefab   进入争霸
undles\UI\Main\Energy\UIEnergy.prefab   每日早起
undles\UI\Main\Energy\UIEnergy.prefab   每日早睡
undles\UI\Main\Energy\UIEnergy.prefab   每日问答
undles\UI\Main\Energy\UIEnergyAnswer.prefab   当前问答题(1/10)
undles\UI\Main\Energy\UIEnergyAnswer.prefab   红军长征的时间？111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
undles\UI\Main\Energy\UIEnergyAnswer.prefab   1935年
undles\UI\Main\Energy\UIEnergyEarlysleep.prefab   0点-6点未登陆游戏的玩家，奖励将自动发送到邮箱中
undles\UI\Main\Energy\UIEnergyEarlysleep.prefab   充足的睡眠可以为你送来健康和快乐!!!\n
undles\UI\Main\Energy\UIEnergyEarlyup.prefab   一日之计在于晨,一年之计在于春,一生之计在于勤!!!
undles\UI\Main\Energy\UIEnergyEarlyup.prefab   每天早上6-8点起床的玩家可在此处领取早起奖励!
undles\UI\Main\EquipmentIncrease\UIEquipmentIncrease.prefab   增幅
undles\UI\Main\EquipmentIncrease\UIEquipmentIncrease.prefab   转移
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseShow.prefab   角色
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseShow.prefab   背包
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseShow.prefab   战力: 9999
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseShow.prefab   职业: 魔之战士
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseShow.prefab   副手武器
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseShow.prefab   攻击1-1
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseShow.prefab   洗练装备
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseShow.prefab   洗练消耗
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseShow.prefab   使用道具
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseShow.prefab   重铸次数:
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseShow.prefab   1. 在这里放入装备洗练对应装备的极品属性。\n2. 洗练后装备获得的极品属性完全随机。\n3. 装备等级越高，洗练消耗的金币越高，获得的\n极品属性越好。\n4. 洗练有一定概率失败，失败装备属性不变。\n5. 洗炼有概率出现幸运值属性。
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseTransfer.prefab   属性转移
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseTransfer.prefab   放入装备
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseTransfer.prefab   只有传承增幅才可以转移,普通增幅无法转移
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseTransfer.prefab   转移装备需要同类型和部位的装备
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseTransfer.prefab   左边的装备传承增幅属性会清空转移至右边的装备
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseTransfer.prefab   放入装备44444
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseTransfer.prefab   转移消耗
undles\UI\Main\EquipmentIncrease\UIEquipmentIncreaseTransfer.prefab   拖动左侧的装备放入此处
undles\UI\Main\Fashion\UIFashion.prefab   时装
